"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000141753.7",1277.91778485809,-1.85473638337002,0.370982849991691,-4.99952055307022,5.74730460039803e-07,7.06615976133147e-05,"IGFBP4","3487"
"ENSG00000140931.20",200.070317980688,-2.29305870422168,0.459588353803663,-4.98937513373386,6.05749139017679e-07,7.3988496143545e-05,"CMTM3","123920"
"ENSG00000175538.11",383.440738361084,-1.89911565068916,0.381117255997307,-4.98302194614505,6.25988475587529e-07,7.59641079985697e-05,"KCNE3","10008"
"ENSG00000172572.7",49.982183172251,-2.86659370628406,0.577829640549001,-4.96096687522033,7.01431539586378e-07,8.45700168502596e-05,"PDE3A","5139"
"ENSG00000258644.6",24.2032126024814,-4.70104182178527,0.949739998409392,-4.94981977136742,7.4282237071936e-07,8.89863106666885e-05,"SYNJ2BP-COX16","100529257"
"ENSG00000167656.5",55.6028479448174,-3.76128542623348,0.760212647127685,-4.9476754174569,7.51050104607724e-07,8.93988812414596e-05,"LY6D","8581"
"ENSG00000160886.13",23.7344996061193,-4.98442569141541,1.01053612963498,-4.93245668832825,8.12017888902294e-07,9.55849389891843e-05,"LY6K","54742"
"ENSG00000196754.13",1148.6915338002,-1.80140607751175,0.365236691800322,-4.93216075480333,8.13249427401557e-07,9.55849389891843e-05,"S100A2","6273"
"ENSG00000156968.9",73.5295268761174,-2.58218623901798,0.529874089859101,-4.87320721740632,1.09800946546363e-06,0.000128247505566152,"MPV17L","255027"
"ENSG00000226051.9",25.2469178194329,-5.51322791026626,1.13175455560597,-4.87139891150193,1.10810854384326e-06,0.000128623183026975,"ZNF503-AS1","253264"
"ENSG00000160255.18",130.682107377842,-7.49494124319626,1.54668801777465,-4.84580028878729,1.2610231825674e-06,0.000145469143430985,"ITGB2","3689"
"ENSG00000158055.17",40.9852632055712,-3.61671124145607,0.752779056914254,-4.80447909414679,1.55154910738115e-06,0.00017528658135313,"GRHL3","57822"
"ENSG00000090530.10",141.261924131302,-1.82946275208809,0.380792519874148,-4.80435580166524,1.55250540113898e-06,0.00017528658135313,"P3H2","55214"
"ENSG00000107201.11",630.134612545496,-1.53319779829007,0.31916783254494,-4.80373534533494,1.5573264551e-06,0.00017528658135313,"DDX58","23586"
"ENSG00000133519.13",291.304503401569,-1.85798305059432,0.386822073016928,-4.80319811148162,1.56151247914055e-06,0.00017528658135313,NA,NA
"ENSG00000134775.16",33.2402687540655,-4.44861303302013,0.926297893596714,-4.80257276171346,1.56639870965179e-06,0.00017528658135313,"FHOD3","80206"
"ENSG00000003989.18",38.9192958805076,-2.73515821275381,0.574116821798236,-4.76411439084264,1.89684880688261e-06,0.000211001848232275,"SLC7A2","6542"
"ENSG00000263639.7",24.6293250097837,-4.42848362809518,0.930591511390871,-4.75878360579103,1.94763096628357e-06,0.000215368801762765,"MSMB","4477"
"ENSG00000106066.15",30.7391984739402,-3.72403972050496,0.784758473358212,-4.74545971395339,2.08033316513868e-06,0.000228689801118304,"CPVL","54504"
"ENSG00000231131.9",15.4357804034986,-7.26716462707233,1.54231412141767,-4.71185767293142,2.45468801431875e-06,0.000268264383693502,"LNCAROD","101928687"
"ENSG00000233901.7",56.0020603035073,-2.41388818180511,0.513440773651055,-4.70139557604679,2.5838939439857e-06,0.000280743081541888,"LINC01503","100506119"
"ENSG00000219159.4",57.7512925063971,2.59174095291948,0.552585851386698,4.69020505395782,2.72931391661706e-06,0.000294829008518726,NA,NA
"ENSG00000145632.15",1805.88104399606,-1.54111811326741,0.329121743033752,-4.68251686765455,2.83373861349008e-06,0.000303191947029033,"PLK2","10769"
"ENSG00000196611.6",685.49771095258,2.21690125047498,0.473481984609946,4.68212376084649,2.83917972656683e-06,0.000303191947029033,"MMP1","4312"
"ENSG00000169604.21",21.4761592348966,-6.77261997295284,1.44894388361247,-4.67417686050582,2.95134920804239e-06,0.00031337962499941,"ANTXR1","84168"
"ENSG00000244509.4",48.1636620257952,-2.33952888294226,0.501510000390507,-4.66496955418747,3.0866273618129e-06,0.000325892045974912,"APOBEC3C","27350"
