"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000118849.10",1871.95341374278,-3.18627694783002,0.335408083084127,-9.49970232837484,2.10491133720241e-21,2.45853644185241e-18,"RARRES1","5918"
"ENSG00000187258.14",179.110125729668,-7.94894018156412,0.850062461297743,-9.35100718296502,8.68170141762818e-21,9.54374329956679e-18,"NPSR1","387129"
"ENSG00000161638.11",168.010401504696,-3.78274424931532,0.406468566542097,-9.30636354367035,1.32283926553269e-20,1.37340112190416e-17,"ITGA5","3678"
"ENSG00000180964.17",210.187696397156,-4.74057372249289,0.529742942931549,-8.94881901825628,3.59305701910793e-19,3.5340552406889e-16,"TCEAL8","90843"
"ENSG00000185633.11",908.351512359224,-3.42925263398271,0.389202576070729,-8.81097105934756,1.24066397245613e-18,1.159276415863e-15,"NDUFA4L2","56901"
"ENSG00000160183.17",420.702025618388,-3.07968953355554,0.352159946382611,-8.74514425956196,2.2273089208996e-18,1.98209281494151e-15,"TMPRSS3","64699"
"ENSG00000142552.8",132.673696909353,-3.80099189422476,0.441969078842162,-8.60013081499348,7.96252872291109e-18,6.76380621698921e-15,"RCN3","57333"
"ENSG00000197046.12",99.1674508701805,-5.48173423690936,0.643921213468138,-8.51305116566191,1.69415272041845e-17,1.37653591474696e-14,"SIGLEC15","284266"
"ENSG00000186847.6",130.443877918312,-6.0018694851487,0.705906185838308,-8.50236136976347,1.85772447086463e-17,1.44654812131325e-14,"KRT14","3861"
"ENSG00000262655.4",232.968001258128,-4.90208243585201,0.594447280718537,-8.24645447099468,1.63163262211663e-16,1.20339156865916e-13,"SPON1","10418"
"ENSG00000112761.22",114.750651186101,-7.71060563849227,0.935370327788904,-8.24337207351783,1.67423912591706e-16,1.20339156865916e-13,"CCN6","8838"
"ENSG00000228509.7",67.972242382155,-4.22330080470259,0.544282595008802,-7.75938977919052,8.53389950209843e-15,5.90672273685983e-12,NA,NA
"ENSG00000151834.16",71.8801380137966,4.13009030442012,0.533423746942394,7.74260675137536,9.73989345450445e-15,6.5006831742064e-12,"GABRA2","2555"
"ENSG00000186832.9",1364.28629580801,-3.69521304001968,0.482220726704271,-7.66290794938358,1.81769630325869e-14,1.17134856949305e-11,"KRT16","3868"
"ENSG00000047457.14",114.67742987453,-3.6526788876699,0.482926283147902,-7.56363655309939,3.91953930087735e-14,2.44161168182653e-11,"CP","1356"
"ENSG00000214049.8",725.257193177384,-4.06613340694481,0.538450302108587,-7.5515481949248,4.30114322106529e-14,2.59289562952478e-11,"UCA1","652995"
"ENSG00000109193.12",85.5931142729736,3.51104124105105,0.466101351863544,7.53278493403501,4.96693839909008e-14,2.90069202506861e-11,"SULT1E1","6783"
"ENSG00000131171.13",581.565050456902,-3.3707588684692,0.457807818161543,-7.36282504306161,1.8005830041274e-13,1.01967561154948e-10,"SH3BGRL","6451"
"ENSG00000182511.12",89.0575177167975,-3.50051169624222,0.47688748114839,-7.34033044401304,2.13067142204936e-13,1.17111728044878e-10,"FES","2242"
"ENSG00000131746.13",657.003617216764,-2.84649249505311,0.390152803580676,-7.29584016551739,2.96801083746184e-13,1.58474818658534e-10,"TNS4","84951"
"ENSG00000274204.1",90.2399038866065,3.46120337694223,0.475126768926978,7.28479976987821,3.22148400089893e-13,1.67230813913331e-10,NA,NA
"ENSG00000198203.10",3393.57249385359,3.14842781166853,0.43301118806774,7.27100799801041,3.56814813324051e-13,1.80220411659456e-10,"SULT1C2","6819"
"ENSG00000281453.1",60.0435450848799,-6.01886187102093,0.830990115153153,-7.24300056194008,4.38865091387258e-13,2.15829232311713e-10,"TGFB2-OT1","103611157"
"ENSG00000171243.8",69.6160647120535,-4.7130085269563,0.663788411689803,-7.10016692662413,1.246062924053e-12,5.9708779294109e-10,"SOSTDC1","25928"
"ENSG00000132329.11",426.534840088928,-2.67854412149272,0.3777633297444,-7.09053502706326,1.33594497052485e-12,6.24153490229211e-10,"RAMP1","10267"
"ENSG00000138152.10",80.4480467372048,-4.56905695218492,0.644895779392434,-7.08495403162586,1.39090463589551e-12,6.33981117941838e-10,"BTBD16","118663"
"ENSG00000125726.11",481.037858915841,-7.27742377854343,1.02993218125892,-7.0659252239774,1.59549319042623e-12,7.09918493873461e-10,"CD70","970"
"ENSG00000274615.1",46.2601750602018,-8.85243155080633,1.27660548999737,-6.93435177912682,4.08088019067586e-12,1.77356951170582e-09,NA,NA
"ENSG00000197632.9",2534.82141250582,3.01767847632402,0.439798751398029,6.86149850751382,6.81419165434452e-12,2.89417303719069e-09,"SERPINB2","5055"
"ENSG00000185215.11",227.354844660037,-3.97759396317429,0.580779009106375,-6.84872197653025,7.45126470134942e-12,3.0944274386404e-09,"TNFAIP2","7127"
"ENSG00000198959.12",300.302974816734,-3.91844012508418,0.579624490375862,-6.76030807901722,1.37698622464899e-11,5.46846042410103e-09,"TGM2","7052"
"ENSG00000251563.1",74.3596630321559,4.10387537439608,0.607166714266513,6.75905855503585,1.38891258336144e-11,5.46846042410103e-09,"IARS2P1","642461"
"ENSG00000121653.11",73.1457977443158,-3.30882682439419,0.489657293915412,-6.757433955361,1.40457031440951e-11,5.46846042410103e-09,"MAPK8IP1","9479"
"ENSG00000122863.6",73.3373413638367,-7.07136428313994,1.05014016757973,-6.73373374474134,1.65363662612262e-11,6.30676760591417e-09,"CHST3","9469"
"ENSG00000186081.12",43.1686796113662,-8.75254855850771,1.30778916430973,-6.69262966643975,2.19195369034323e-11,8.19264611302684e-09,"KRT5","3852"
"ENSG00000070190.13",135.899814552301,-3.21271433113449,0.481220211525049,-6.67618328198016,2.45245232419515e-11,8.98655471265863e-09,"DAPP1","27071"
"ENSG00000225778.5",44.5167563955237,-8.79794226055007,1.33568676800985,-6.58683043903985,4.49314908308155e-11,1.614768655089e-08,"PROSER2-AS1","219731"
"ENSG00000124092.13",46.7323943026985,-8.86706993797865,1.35390165605825,-6.54927180146467,5.78183165876928e-11,2.03869566111472e-08,"CTCFL","140690"
"ENSG00000287064.1",71.1034070810847,-3.43529705782063,0.524890646406195,-6.5447861975467,5.95805612273039e-11,2.06192875595529e-08,NA,NA
